Huc8,Watershed Code,Vahu6,ID,Date Time,Depth,Survey Prog Code ID,Lab Seq Num,Storet Parm Code, Parm Name,Value,Storet Comment ID,Lab Comment,Parm Meas Unit,Container Description,Container ID,Region,Level 1 Code,Stream Name,Watershed Code,Latitude,Longitude,County,Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,01049,"LEAD, DISSOLVED (UG/L AS PB)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,01065,"NICKEL, DISSOLVED (UG/L AS NI)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,01090,"ZINC, DISSOLVED (UG/L AS ZN)",2.5,,,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,46570,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3)",5580,,,mg/l,R,8,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,50091,"MERCURY-TL,FILTERED WATER,ULTRATRACE METHOD NG/L",1.5,U,BDL data presented is below method reporting level.,ng/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,DHARD,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3) AS DISSOLVED",6070,,,mg/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,01025,"CADMIUM, DISSOLVED (UG/L AS CD)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT001.12,7/23/2008 9:45 AM,0.5,C2,1,01040,"COPPER, DISSOLVED (UG/L AS CU)",1,,,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.95988889,-75.43391667,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,01090,"ZINC, DISSOLVED (UG/L AS ZN)",2,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,01049,"LEAD, DISSOLVED (UG/L AS PB)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,01065,"NICKEL, DISSOLVED (UG/L AS NI)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,46570,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3)",5200,,,mg/l,R,8,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,01040,"COPPER, DISSOLVED (UG/L AS CU)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,DHARD,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3) AS DISSOLVED",5010,,,mg/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,01025,"CADMIUM, DISSOLVED (UG/L AS CD)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.03,8/6/2009 10:10 AM,0.5,C2,1,50091,"MERCURY-TL,FILTERED WATER,ULTRATRACE METHOD NG/L",1.5,U,BDL data presented is below method reporting level.,ng/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.98719445,-75.40433333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,01025,"CADMIUM, DISSOLVED (UG/L AS CD)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,46570,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3)",5630,,,mg/l,R,8,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,DHARD,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3) AS DISSOLVED",6010,,,mg/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,01040,"COPPER, DISSOLVED (UG/L AS CU)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,01090,"ZINC, DISSOLVED (UG/L AS ZN)",2.7,,,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,01049,"LEAD, DISSOLVED (UG/L AS PB)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,01065,"NICKEL, DISSOLVED (UG/L AS NI)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT003.83,7/23/2008 11:00 AM,0.5,C2,1,50091,"MERCURY-TL,FILTERED WATER,ULTRATRACE METHOD NG/L",2.64,,,ng/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.99680555,-75.38033333,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,01049,"LEAD, DISSOLVED (UG/L AS PB)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,50091,"MERCURY-TL,FILTERED WATER,ULTRATRACE METHOD NG/L",1.5,U,BDL data presented is below method reporting level.,ng/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,DHARD,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3) AS DISSOLVED",4970,,,mg/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,01090,"ZINC, DISSOLVED (UG/L AS ZN)",7.1,,,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,01065,"NICKEL, DISSOLVED (UG/L AS NI)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,01025,"CADMIUM, DISSOLVED (UG/L AS CD)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.07,7/14/2005 8:30 AM,0.5,C2,1,01040,"COPPER, DISSOLVED (UG/L AS CU)",1,,,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,38.01230556,-75.36794444,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.08,8/5/2009 11:10 AM,0.5,C2,1,01090,"ZINC, DISSOLVED (UG/L AS ZN)",2.37,,,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.9885,-75.35227778,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.08,8/5/2009 11:10 AM,0.5,C2,1,DHARD,"HARDNESS, CA MG CALCULATED (MG/L AS CACO3) AS DISSOLVED",4950,,,mg/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.9885,-75.35227778,Accomack,Ches. Bay and Small Coastal Basin
02040303,VAT-D01E,AO02,7-CHT005.08,8/5/2009 11:10 AM,0.5,C2,1,01040,"COPPER, DISSOLVED (UG/L AS CU)",1,U,BDL data presented is below method reporting level.,ug/l,R,7,Tidewater,ESTURY,Chincoteague Bay,VAT-D01E,37.9885,-75.35227778,Accomack,Ches. Bay and Small Coastal Basin
